Company Name,Job Title,Date Posted,Job Link
Microsoft,Microsoft Data Privacy Notice,,http://go.microsoft.com/fwlink/?LinkId=518021
Amazon,"Business Intelligence Engineer II, Network Design, Planning, & Engineering, North America Transportation",,https://www.amazon.jobs/en/jobs/2918331/business-intelligence-engineer-ii-network-design-planning-engineering-north-america-transportation
Amazon,Privacy and Data,,https://www.amazon.jobs/en/privacy_page
IBM,"Consulting
Business Transformation Consultant-Warehouse & Logistics
Professional
Pune, IN",,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=8608&source=WEB_Search_NA
IBM,"Sales
Sales Development Representative - Data Platform Portfolio
Entry Level
Austin, US",,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=30436&source=WEB_Search_NA
IBM,"Enterprise Operations
PROCESS INNOVATION PROFESSIONAL-MARKETING OPERATIONS
Entry Level
Pune, IN",,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=27404&source=WEB_Search_NA
IBM,"Enterprise Operations
DATA ENGINEER-ADVANCED ANALYTICS
Professional
BANGALORE, IN",,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=10705&source=WEB_Search_NA
Meta (Facebook),"Software Engineer, Machine Learning
Sunnyvale, CA +12 locations
•
Advertising Technology +14 more
•
Engineering
Multiple Locations
Advertising Technology
AI Infrastructure
AI Research
AR/VR
Artificial Intelligence
Data & Analytics
Facebook
Facebook Reality Labs
Generative AI
Infrastructure
Instagram
Messenger
Research
Software Engineering
WhatsApp
Engineering",,https://www.metacareers.com/jobs/774198984091403/
Meta (Facebook),"Electrical Subject Matter Expert
Clonee, Ireland
•
Infrastructure
•
Data Center Operations
Clonee, Ireland
Infrastructure
Data Center Operations",,https://www.metacareers.com/jobs/1090344762937339/
Meta (Facebook),"Enterprise Support Engineer, Data Centers
Temple, TX +1 locations
•
Enterprise Engineering
•
IT
Multiple Locations
Enterprise Engineering
IT",,https://www.metacareers.com/jobs/680836578131440/
Meta (Facebook),"Product Marketing Manager, Small and Medium Business Group, EMEA
Dublin, Ireland +1 locations
•
Sales & Marketing
•
Business Marketing +3 more
Multiple Locations
Sales & Marketing
Business Marketing
Marketing
Product Marketing Management
Product Strategy",,https://www.metacareers.com/jobs/575819921742674/
Meta (Facebook),"Business Intelligence Analyst, Global Research Operations
Menlo Park, CA +2 locations
•
Data & Analytics
•
Research +1 more
Multiple Locations
Data & Analytics
Research
Operations",,https://www.metacareers.com/jobs/980840877159394/
Meta (Facebook),Rotational Product Management,,https://www.metacareers.com/rpm
Meta (Facebook),Business teams,,https://www.metacareers.com/teams/business
Meta (Facebook),Data Policy,,https://www.metacareers.com/privacy/
NVIDIA,"Senior Manager, Storage Production Engineering",,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Manager--Storage-Production-Engineering_JR1996288
NVIDIA,"Senior Backend Engineer, Database and Systems Infrastructure",,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Backend-Engineer--Database-and-Systems-Infrastructure_JR1996583
NVIDIA,"Senior Data Engineer, Cloud Operations Engineering",,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Data-Engineer--Cloud-Operations-Engineering_JR1993715-1
Apple,US-Business Expert,,https://jobs.apple.com/en-us/details/114438148/us-business-expert?team=SLDEV
Apple,US-Business Pro,,https://jobs.apple.com/en-us/details/200125453/us-business-pro?team=APPST
Apple,"Software Engineering Applications, Cloud Infrastructure Business Operations",,https://jobs.apple.com/en-us/details/200599820/software-engineering-applications-cloud-infrastructure-business-operations?team=SFTWR
Apple,"Staff Software Engineer – AI Governance, Apple Data Platform",,https://jobs.apple.com/en-us/details/200598936/staff-software-engineer-ai-governance-apple-data-platform?team=SFTWR
Apple,Product Designer - Data Solutions Initiative,,https://jobs.apple.com/en-us/details/200604251/product-designer-data-solutions-initiative?team=SLDEV
Apple,New Product Operations - Mac,,https://jobs.apple.com/en-us/details/200604448/new-product-operations-mac?team=OPMFG
Apple,Apple and Business,,https://www.apple.com/business/
Apple,Shop for Business,,https://www.apple.com/retail/business/
Tencent,Products & Services,,javascript:void(0)
Tencent,Business group,,javascript:;
Salesforce,"Partner Business Manager, Indonesia",,https://careers.salesforce.com/en/jobs/jr285830/partner-business-manager-indonesia/
Salesforce,Solution Engineer - Data Cloud / AI Consumption Lead -,,https://careers.salesforce.com/en/jobs/jr294925/solution-engineer-data-cloud-ai-consumption-lead/
Salesforce,Data Cloud - Entreprise Account Executive,,https://careers.salesforce.com/en/jobs/jr277584/data-cloud-entreprise-account-executive/
Salesforce,Solution Engineer - Data Cloud / AI Consumption Lead,,https://careers.salesforce.com/en/jobs/jr294927/solution-engineer-data-cloud-ai-consumption-lead/
Salesforce,Marketing Automation Software,,https://www.salesforce.com/products/sales-cloud/features/marketing-automation-software/?d=7010M000001yBiM
Salesforce,Explore All Products,,https://www.salesforce.com/products/?d=70130000000i7zU
Salesforce,Product Pricing,,https://www.salesforce.com/editions-pricing/overview/?d=70130000000i7ze
Salesforce,Privacy for Salesforce Products,,https://www.salesforce.com/privacy/overview/
SAP,SAP Business Data Cloud / AI Consultant,,https://jobs.sap.com/job/Z%C3%BCrich-Flughafen-SAP-Business-Data-Cloud-AI-Consultant-Zuri-8058/1192824001/
SAP,SAP Callidus Cloud (SPM) Data Integration Consultant (8-14 yrs),,https://jobs.sap.com/job/Hyderabad-SAP-Callidus-Cloud-%28SPM%29-Data-Integration-Consultant-%288-14-yrs%29-500081/1192903301/
SAP,"Premium Hub - CoE: Business Process Senior Consultant - FSCM, Cash Management, Treasury",,https://jobs.sap.com/job/Dublin-24-Premium-Hub-CoE-Business-Process-Senior-Consultant-FSCM%2C-Cash-Management%2C-Treasury-D24WA02/1067085501/
SAP,"The Premium Hub CoE: Business Processes Consultant Controlling, Project Systems, Investment",,https://jobs.sap.com/job/Dublin-24-The-Premium-Hub-CoE-Business-Processes-Consultant-Controlling%2C-Project-Systems%2C-Investment-%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B-D24WA02/1143791601/
SAP,Intern (f/m/d): - Line of Business & Solution Marketing,,https://jobs.sap.com/job/Walldorf-Intern-%28fmd%29-Line-of-Business-&-Solution-Marketing-69190/1077474001/
Render,Product,,https://render.com/careers
Render,"Senior Software Engineer, Product
Remote - United States or San Francisco, CA",,https://jobs.ashbyhq.com/render/65cbdb59-1556-47d2-8050-eb951a09bf11
Render,"Data Scientist
Remote - United States or San Francisco, CA",,https://jobs.ashbyhq.com/render/114b9516-00cb-448e-b30c-ef4daec62fef
Render,"Product Lead, Growth
Remote - United States",,https://jobs.ashbyhq.com/render/4213e460-b90c-41be-ba7f-64a5ba830fb2
Vercel,"Mid-Market Account Executive, East
Remote - United States
Read more",,https://vercel.com/careers/mid-market-account-executive-east-us-5042166004
